Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Daeripgun,16-Jun-17,FIP,Not Rated,"$84,532 ","9,424",Drama
Fuchi ni tatsu,16-Jun-17,Film Movement,Not Rated,"$17,191 ","1,916",Drama
47 Meters Down,16-Jun-17,Entertainment Stu…,PG-13,"$44,307,193 ","4,939,486",Horror
Jasmine,16-Jun-17,Indican Pictures,Not Rated,"$24,284 ","2,707",Horror
47 Meters Down,16-Jun-17,Entertainment Stu�,PG-13,"$44,307,193 ","4,939,486",Horror
Jasmine,16-Jun-17,Indican Pictures,Not Rated,"$24,284 ","2,707",Horror
Scum,16-Jun-17,Kino Lorber,R,"$5,405 ",602,Thriller/Suspense
Transformers: The Last Knight,21-Jun-17,Paramount Pictures,PG-13,"$130,168,683 ","14,511,558",Action
Tubelight,23-Jun-17,Yash Raj Films,Not Rated,"$930,058 ","103,685",Adventure
O Ornitólogo,23-Jun-17,Strand,Not Rated,"$50,511 ","5,631",Drama
The Bad Batch,23-Jun-17,Neon,R,"$180,851 ","20,161",Horror
The Bad Batch,23-Jun-17,Neon,R,"$180,851 ","20,161",Horror
Pop Aye,28-Jun-17,Kino Lorber,Not Rated,"$77,895 ","8,683",Drama
Baby Driver,28-Jun-17,Sony Pictures,R,"$107,825,862 ","12,020,720",Thriller/Suspense
Le Trou,28-Jun-17,Rialto Pictures,Not Rated,"$30,973 ","3,452",Thriller/Suspense
Ni Shi Ying Jiu,30-Jun-17,Well Go USA,Not Rated,"$108,970 ","12,148",Action
Despicable Me 3,30-Jun-17,Universal,PG,"$264,624,300 ","29,501,036",Adventure
The House,30-Jun-17,Warner Bros.,R,"$25,584,504 ","2,852,230",Comedy
Elser,30-Jun-17,Sony Pictures Cla…,R,"$155,897 ","17,379",Drama
Maria Sklodowska Curie,30-Jun-17,Society Films,Not Rated,"$127,993 ","14,269",Drama
2:22,30-Jun-17,Magnolia Pictures,PG-13,$422 ,47,Thriller/Suspense
Spider-Man: Homecoming,7-Jul-17,Sony Pictures,PG-13,"$334,201,140 ","37,257,652",Action
A Ghost Story,7-Jul-17,A24,R,"$1,594,798 ","177,792",Drama
Míng Yuè Jǐ Shí Yǒu,7-Jul-17,China Lion Film D…,Not Rated,"$111,584 ","12,439",Drama
Simple Creature,11-Jul-17,Indican Pictures,Not Rated,"$23,918 ","2,666",Thriller/Suspense
War for the Planet of the Apes,14-Jul-17,20th Century Fox,PG-13,"$146,880,162 ","16,374,600",Action
Jagga Jasoos,14-Jul-17,UTV Communications,Not Rated,"$861,740 ","96,069",Adventure
Lady Macbeth,14-Jul-17,Roadside Attractions,R,"$1,129,408 ","125,909",Drama
Les fausses confidences,14-Jul-17,Big World Pictures,Not Rated,"$29,245 ","3,260",Drama
Man Underground,14-Jul-17,Indican Pictures,Not Rated,"$20,907 ","2,330",Drama
L’important c’est d’aimer…,14-Jul-17,Rialto Pictures,Not Rated,"$16,976 ","1,892",Drama
Wish Upon,14-Jul-17,Broad Green Pictures,PG-13,"$14,301,505 ","1,594,370",Horror
Wish Upon,14-Jul-17,Broad Green Pictures,PG-13,"$14,301,505 ","1,594,370",Horror
Dunkirk,21-Jul-17,Warner Bros.,PG-13,"$188,373,161 ","21,000,352",Action
Munna Michael,21-Jul-17,Eros Entertainment,Not Rated,"$64,949 ","7,240",Action
Dunkirk,21-Jul-17,Warner Bros.,PG-13,"$1,695,119 ","186,072",Action
Valerian and the City of a …,21-Jul-17,STX Entertainment,PG-13,"$40,479,370 ","4,512,750",Adventure
La jeune fille sans mains,21-Jul-17,GKIDS,Not Rated,"$21,787 ","2,428",Adventure
Girls Trip,21-Jul-17,Universal,R,"$115,108,515 ","12,832,610",Comedy
Landline,21-Jul-17,Amazon Studios,R,"$940,854 ","104,888",Comedy
Miekkailija,21-Jul-17,CFI,Not Rated,"$94,157 ","10,496",Drama
La Region Salvaje,21-Jul-17,Strand,Not Rated,"$25,899 ","2,887",Drama
Amnesia,21-Jul-17,Film Movement,Not Rated,"$8,700 ",969,Drama
Miekkailija,21-Jul-17,CFI,Not Rated,"$1,794 ",196,Drama
Sage femme,21-Jul-17,Music Box Films,Not Rated,"$603,582 ","67,288",Thriller/Suspense
The Fuzz,21-Jul-17,Indican Pictures,Not Rated,"$6,176 ",688,Thriller/Suspense
Zhan Lang 2,28-Jul-17,The H Collective,Not Rated,"$2,721,100 ","303,355",Action
The Emoji Movie,28-Jul-17,Sony Pictures,PG,"$86,089,513 ","9,597,493",Adventure
Brigsby Bear,28-Jul-17,Sony Pictures Cla…,PG-13,"$515,765 ","57,498",Comedy
Detroit,28-Jul-17,Annapurna Pictures,R,"$16,790,139 ","1,871,810",Drama
Menashe,28-Jul-17,A24,PG,"$1,702,996 ","189,854",Drama
Mal de Pierres,28-Jul-17,IFC Films,R,"$48,677 ","5,426",Drama
Person to Person,28-Jul-17,Magnolia Pictures,Not Rated,"$48,499 ","5,406",Drama
Sueño en otro idioma,28-Jul-17,FilmRise,Not Rated,"$2,739 ",305,Drama
Le Gai Savoir,28-Jul-17,Kino Lorber,Not Rated,"$1,149 ",128,Drama
Atomic Blonde,28-Jul-17,Focus Features,R,"$51,573,925 ","5,749,601",Thriller/Suspense
Brave New Jersey,4-Aug-17,Gravitas Ventures,Not Rated,"$14,105 ","1,572",Comedy
Gunhamdo,4-Aug-17,CJ Entertainment,Not Rated,"$1,104,957 ","123,183",Drama
Columbus,4-Aug-17,Superlative Films,Not Rated,"$1,017,107 ","113,389",Drama
Jours de France,4-Aug-17,Cinema Guild,Not Rated,"$11,373 ","1,267",Drama
Wind River,4-Aug-17,Weinstein Co.,R,"$33,800,859 ","3,768,212",Thriller/Suspense
Kidnap,4-Aug-17,Aviron Pictures,R,"$30,718,107 ","3,424,538",Thriller/Suspense
The Ghoul,4-Aug-17,Cartilage Films,Not Rated,"$2,032 ",226,Thriller/Suspense
L'Économie du Couple,9-Aug-17,Distrib Films,Not Rated,"$13,621 ","1,518",Drama
The Nut Job 2: Nutty by Nature,11-Aug-17,Open Road,PG,"$28,370,522 ","3,162,822",Adventure
The Trip to Spain,11-Aug-17,IFC Films,Not Rated,"$1,157,604 ","129,052",Comedy
Toilet: Ek Prem Katha,11-Aug-17,Reliance Entertai…,Not Rated,"$709,420 ","79,088",Comedy
The Glass Castle,11-Aug-17,Lionsgate,PG-13,"$17,273,059 ","1,925,647",Drama
Good Time,11-Aug-17,A24,R,"$2,026,498 ","225,919",Drama
Taeksi Woonjunsa,11-Aug-17,Well Go USA,Not Rated,"$1,527,829 ","170,326",Drama
The Only Living Boy in New …,11-Aug-17,Roadside Attractions,R,"$624,332 ","69,602",Drama
Once Upon a Time,11-Aug-17,Well Go USA,Not Rated,"$485,728 ","54,150",Drama
Annabelle: Creation,11-Aug-17,Warner Bros.,R,"$102,092,201 ","11,381,516",Horror
Annabelle: Creation,11-Aug-17,Warner Bros.,R,"$102,092,201 ","11,381,516",Horror
The Nile Hilton Incident,11-Aug-17,Strand,Not Rated,"$80,953 ","9,024",Thriller/Suspense
Gekijôban Fairy Tail: Drago…,14-Aug-17,FUNimation,Not Rated,"$519,461 ","57,910",Action
Inxeba,16-Aug-17,Kino Lorber,Not Rated,"$29,963 ","3,340",Drama
The Hitman’s Bodyguard,18-Aug-17,Lionsgate,R,"$75,468,583 ","8,413,442",Action
Logan Lucky,18-Aug-17,Bleecker Street,PG-13,"$27,778,642 ","3,096,838",Comedy
Patti Cake$,18-Aug-17,Fox Searchlight,R,"$800,148 ","89,203",Comedy
Lemon,18-Aug-17,Magnolia Pictures,Not Rated,"$29,258 ","3,261",Comedy
Gook,18-Aug-17,Samuel Goldwyn Films,Not Rated,"$250,130 ","27,885",Drama
Crown Heights,18-Aug-17,IFC Films,R,"$238,553 ","26,594",Drama
The Adventurers,18-Aug-17,Well Go USA,Not Rated,"$216,556 ","24,142",Thriller/Suspense
Birth of the Dragon,25-Aug-17,BH Tilt,PG-13,"$6,901,965 ","769,449",Action
"Gentleman: Sundar, Susheel,…",25-Aug-17,FIP,Not Rated,"$410,055 ","45,714",Action
Aknyeo,25-Aug-17,Well Go USA,Not Rated,"$27,741 ","3,092",Action
Jiao Zhu Chuan,25-Aug-17,Well Go USA,Not Rated,"$13,588 ","1,514",Action
Ballerina,25-Aug-17,Weinstein Co.,PG,"$21,858,070 ","2,436,797",Adventure
All Saints,25-Aug-17,Sony Pictures,PG,"$5,802,208 ","646,846",Drama
Beach Rats,25-Aug-17,Neon,R,"$471,286 ","52,540",Drama
Polina danser sa vie,25-Aug-17,Oscilloscope Pict…,Not Rated,"$165,203 ","18,417",Drama
Eshtebak,25-Aug-17,Kino Lorber,Not Rated,"$18,215 ","2,030",Drama
Red Christmas,25-Aug-17,Artsploitation,Not Rated,"$2,250 ",250,Horror
Red Christmas,25-Aug-17,Artsploitation,Not Rated,"$2,250 ",250,Horror
Paradise Club,29-Aug-17,Indican Pictures,R,"$21,923 ","2,444",Drama
Učitelka,30-Aug-17,Film Movement,Not Rated,"$64,437 ","7,183",Drama
Inhumans,1-Sep-17,,Not Rated,"$1,521,787 ","169,652",Action
Hazlo Como Hombre,1-Sep-17,Lionsgate,R,"$2,534,252 ","282,525",Comedy
I Do…Until I Don’t,1-Sep-17,Film Arcade,R,"$276,608 ","30,837",Comedy
A Boy Called Po,1-Sep-17,Freestyle Releasing,PG,"$4,550 ",507,Comedy
Tulip Fever,1-Sep-17,Weinstein Co.,R,"$2,455,635 ","273,761",Drama
Viceroy’s House,1-Sep-17,IFC Films,Not Rated,"$1,105,717 ","123,268",Drama
Dalida,1-Sep-17,Under the Milky Way,Not Rated,"$2,917 ",325,Drama
The Vault,1-Sep-17,FilmRise,Not Rated,"$5,728 ",638,Thriller/Suspense
Poster Boys,8-Sep-17,Sony Pictures,PG-13,"$97,049 ","10,819",Comedy
Rebel in the Rye,8-Sep-17,IFC Films,PG-13,"$378,294 ","42,173",Drama
11-Sep,8-Sep-17,Atlas Distribution,R,"$172,000 ","19,175",Drama
La Fille Inconnue,8-Sep-17,IFC Films,Not Rated,"$150,579 ","16,786",Drama
Hirune-hime: Shiranai watas…,8-Sep-17,GKIDS,Not Rated,"$48,198 ","5,373",Drama
The Man From Outer Space,8-Sep-17,Indican Pictures,Not Rated,"$18,709 ","2,085",Drama
It,8-Sep-17,Warner Bros.,R,"$327,481,748 ","36,508,556",Horror
It,8-Sep-17,Warner Bros.,R,"$1,347,126 ","147,066",Horror
It,8-Sep-17,Warner Bros.,R,"$327,481,748 ","36,508,556",Horror
It,8-Sep-17,Warner Bros.,R,"$1,347,126 ","147,066",Horror
Memoir of a Murderer,8-Sep-17,Well Go USA,Not Rated,"$91,335 ","10,182",Thriller/Suspense
Dayveon,13-Sep-17,FilmRise,Not Rated,"$2,077 ",231,Drama
Vengeance: A Love Story,15-Sep-17,FilmRise,Not Rated,"$4,526 ",504,Action
Brad’s Status,15-Sep-17,Annapurna Pictures,R,"$2,133,158 ","237,810",Comedy
Abracadabra,15-Sep-17,Sony Pictures,R,"$13,975 ","1,558",Comedy
Because of Grácia,15-Sep-17,ArtAffects,PG-13,"$90,388 ","10,076",Drama
American Assassin,15-Sep-17,Lionsgate,R,"$36,249,674 ","4,041,212",Thriller/Suspense
mother!,15-Sep-17,Paramount Pictures,R,"$17,800,004 ","1,984,392",Thriller/Suspense
Kingsman: The Golden Circle,22-Sep-17,20th Century Fox,R,"$100,227,039 ","11,173,583",Action
Kingsman: The Golden Circle,22-Sep-17,20th Century Fox,R,"$7,799 ",856,Action
The Lego Ninjago Movie,22-Sep-17,Warner Bros.,PG,"$59,281,555 ","6,608,869",Adventure
The Tiger Hunter,22-Sep-17,Shout! Factory,Not Rated,"$62,398 ","6,956",Comedy
Victoria and Abdul,22-Sep-17,Focus Features,PG-13,"$22,233,285 ","2,478,627",Drama
Battle of the Sexes,22-Sep-17,Fox Searchlight,PG-13,"$12,638,526 ","1,408,977",Drama
Loving Vincent,22-Sep-17,Good Deed Enterta…,PG-13,"$6,269,689 ","698,961",Drama
Stronger,22-Sep-17,Roadside Attractions,R,"$4,211,129 ","469,468",Drama
Kongens Nei,22-Sep-17,Samuel Goldwyn Films,Not Rated,"$113,231 ","12,623",Drama
Woodshock,22-Sep-17,A24,R,"$42,469 ","4,734",Drama
Shot,22-Sep-17,Paladin,Not Rated,"$4,701 ",524,Drama
Loving Vincent,22-Sep-17,Good Deed Enterta…,PG-13,"$465,429 ","51,089",Drama
Victoria and Abdul,22-Sep-17,Focus Features,PG-13,"$11,785 ","1,293",Drama
Hong Yi Xiao Nu Hai 2,22-Sep-17,Crimson Forest En…,Not Rated,"$18,870 ","2,071",Horror
Hong Yi Xiao Nu Hai 2,22-Sep-17,Crimson Forest En�,Not Rated,"$18,870 ","2,071",Horror
Friend Request,22-Sep-17,Entertainment Stu�,R,"$3,759,078 ","419,072",Thriller/Suspense
Ribbons,22-Sep-17,Indican Pictures,Not Rated,"$26,872 ","2,995",Thriller/Suspense
Last Rampage,22-Sep-17,Epic Pictures Group,R,"$6,294 ",701,Thriller/Suspense
Jeepers Creepers 3,26-Sep-17,Fathom Events,Not Rated,"$2,235,162 ","249,181",Horror
Jeepers Creepers 3,26-Sep-17,Fathom Events,Not Rated,"$2,235,162 ","249,181",Horror
Te Ata,27-Sep-17,Paladin,PG,"$73,236 ","8,164",Drama
American Made,29-Sep-17,Universal,R,"$51,342,000 ","5,723,745",Action
Judwaa 2,29-Sep-17,FIP,Not Rated,"$1,431,255 ","159,560",Action
Chasing the Dragon,29-Sep-17,Well Go USA,Not Rated,"$456,854 ","50,931",Action
A Question of Faith,29-Sep-17,Pure Flix Enterta…,PG,"$2,587,072 ","288,413",Drama
Lucky,29-Sep-17,Magnolia Pictures,Not Rated,"$955,925 ","106,569",Drama
Flatliners,29-Sep-17,Sony Pictures,PG-13,"$16,883,115 ","1,882,176",Thriller/Suspense
Til Death Do Us Part,29-Sep-17,Novus Content,PG-13,"$3,424,454 ","381,767",Thriller/Suspense
Mark Felt: The Man Who Brou�,29-Sep-17,Sony Pictures Cla�,PG-13,"$768,646 ","85,690",Thriller/Suspense
Super Dark Times,29-Sep-17,The Orchard,Not Rated,"$33,109 ","3,691",Thriller/Suspense
Walking Out,4-Oct-17,IFC Films,PG-13,"$102,394 ","11,415",Thriller/Suspense
Demons,5-Oct-17,Uncork'd Entertai…,Not Rated,"$2,900 ",323,Horror
Demons,5-Oct-17,Uncork'd Entertai�,Not Rated,"$2,900 ",323,Horror
My Little Pony: The Movie,6-Oct-17,Lionsgate,PG,"$21,885,107 ","2,439,811",Adventure
The Florida Project,6-Oct-17,A24,R,"$5,297,299 ","590,557",Drama
Namhansanseong,6-Oct-17,CJ Entertainment,Not Rated,"$138,486 ","15,438",Drama
So B. It,6-Oct-17,Good Deed Enterta…,PG-13,"$46,006 ","5,128",Drama
Paradise,6-Oct-17,Film Movement,Not Rated,"$14,873 ","1,658",Drama
Trafficked,6-Oct-17,Epic Pictures Group,R,"$13,476 ","1,502",Drama
The Florida Project,6-Oct-17,A24,R,"$607,067 ","66,637",Drama
Better Watch Out,6-Oct-17,Well Go USA,R,"$20,369 ","2,270",Horror
Better Watch Out,6-Oct-17,Well Go USA,R,"$20,369 ","2,270",Horror
Blade Runner 2049,6-Oct-17,Warner Bros.,R,"$91,654,512 ","10,217,894",Thriller/Suspense
The Mountain Between Us,6-Oct-17,20th Century Fox,PG-13,"$30,348,555 ","3,383,339",Thriller/Suspense
Blade Runner 2049,6-Oct-17,Warner Bros.,R,"$399,647 ","43,869",Thriller/Suspense
The Foreigner,13-Oct-17,STX Entertainment,R,"$34,393,507 ","3,834,281",Action
Marshall,13-Oct-17,Open Road,PG-13,"$9,468,318 ","1,055,554",Drama
Goodbye Christopher Robin,13-Oct-17,Fox Searchlight,PG,"$1,735,251 ","193,451",Drama
Professor Marston & The Won…,13-Oct-17,Annapurna Pictures,R,"$1,585,362 ","176,740",Drama
Breathe,13-Oct-17,Bleecker Street,PG-13,"$489,322 ","54,550",Drama
Tom of Finland,13-Oct-17,Kino Lorber,Not Rated,"$308,887 ","34,435",Drama
Bad Lucky Goat,13-Oct-17,Film Movement,Not Rated,"$4,253 ",474,Drama
Marshall,13-Oct-17,Open Road,PG-13,"$583,341 ","64,033",Drama
Tom of Finland,13-Oct-17,Kino Lorber,Not Rated,"$69,409 ","7,618",Drama
Bad Lucky Goat,13-Oct-17,Film Movement,Not Rated,$835 ,91,Drama
Happy Death Day,13-Oct-17,Universal,PG-13,"$55,683,845 ","6,207,786",Horror
Happy Death Day,13-Oct-17,Universal,PG-13,"$55,683,845 ","6,207,786",Horror
American Satan,13-Oct-17,AMC Independent,R,"$226,232 ","25,220",Thriller/Suspense
Geostorm,20-Oct-17,Warner Bros.,PG-13,"$33,578,782 ","3,743,454",Action
Geostorm,20-Oct-17,Warner Bros.,PG-13,"$121,378 ","13,324",Action
Tyler Perry’s Boo 2! A Made…,20-Oct-17,Lionsgate,PG-13,"$47,319,572 ","5,275,314",Comedy
Only the Brave,20-Oct-17,Sony Pictures,PG-13,"$18,181,288 ","2,026,899",Drama
Same Kind of Different as Me,20-Oct-17,Pure Flix Enterta…,PG-13,"$6,394,006 ","712,821",Drama
Wonderstruck,20-Oct-17,Roadside Attractions,PG,"$1,033,632 ","115,232",Drama
120 battements par minute,20-Oct-17,The Orchard,Not Rated,"$92,627 ","10,326",Drama
Tiszta Szívvel,20-Oct-17,Kino Lorber,Not Rated,"$15,856 ","1,767",Drama
Maigret tend un piège,20-Oct-17,Kino Lorber,Not Rated,"$7,644 ",852,Drama
Only the Brave,20-Oct-17,Sony Pictures,PG-13,"$158,763 ","17,427",Drama
120 battements par minute,20-Oct-17,The Orchard,Not Rated,"$32,562 ","3,574",Drama
Same Kind of Different as Me,20-Oct-17,Pure Flix Enterta…,PG-13,"$29,599 ","3,249",Drama
The Killing of a Sacred Deer,20-Oct-17,A24,R,"$2,291,900 ","255,507",Horror
The Killing of a Sacred Deer,20-Oct-17,A24,R,"$2,291,900 ","255,507",Horror
The Snowman,20-Oct-17,Universal,R,"$6,670,765 ","743,675",Thriller/Suspense
RV: Resurrected Victims,20-Oct-17,Well Go USA,Not Rated,"$20,371 ","2,271",Thriller/Suspense
God’s Own Country,25-Oct-17,Samuel Goldwyn Films,Not Rated,"$305,219 ","34,026",Drama
God’s Own Country,25-Oct-17,Samuel Goldwyn Films,Not Rated,"$32,808 ","3,601",Drama
Thank You for Your Service,27-Oct-17,Universal,R,"$9,479,390 ","1,056,788",Drama
Let There Be Light,27-Oct-17,Atlas Distribution,PG-13,"$7,210,068 ","803,797",Drama
The Square,27-Oct-17,Magnolia Pictures,R,"$1,223,426 ","136,390",Drama
Novitiate,27-Oct-17,Sony Pictures Cla…,R,"$567,050 ","63,216",Drama
Die göttliche Ordnung,27-Oct-17,Kino Lorber,Not Rated,"$52,480 ","5,850",Drama
Félicité,27-Oct-17,Strand,Not Rated,"$8,679 ",967,Drama
The Square,27-Oct-17,Magnolia Pictures,R,"$278,921 ","30,617",Drama
Die göttliche Ordnung,27-Oct-17,Kino Lorber,Not Rated,"$23,797 ","2,612",Drama
Let There Be Light,27-Oct-17,Atlas Distribution,PG-13,"$23,403 ","2,568",Drama
Novitiate,27-Oct-17,Sony Pictures Cla…,R,"$13,296 ","1,459",Drama
Félicité,27-Oct-17,Strand,Not Rated,"$2,016 ",221,Drama
Jigsaw,27-Oct-17,Lionsgate,R,"$38,052,832 ","4,242,233",Horror
Jigsaw,27-Oct-17,Lionsgate,R,"$38,052,832 ","4,242,233",Horror
All I See is You,27-Oct-17,Open Road,R,"$217,644 ","24,263",Thriller/Suspense
Amityville: The Awakening,28-Oct-17,Weinstein Co.,PG-13,$742 ,83,Horror
Amityville: The Awakening,28-Oct-17,Weinstein Co.,PG-13,$742 ,83,Horror
Keep Watching,31-Oct-17,Sony Pictures,R,"$94,178 ","10,499",Thriller/Suspense
A Bad Moms Christmas,1-Nov-17,STX Entertainment,R,"$71,891,988 ","8,014,714",Comedy
A Bad Moms Christmas,1-Nov-17,STX Entertainment,R,"$218,671 ","24,003",Comedy
1945,1-Nov-17,Menemsha Entertai…,Not Rated,"$243,701 ","27,168",Drama
1945,1-Nov-17,Menemsha Entertai…,Not Rated,"$762,018 ","83,646",Drama
Thor: Ragnarok,3-Nov-17,Walt Disney,PG-13,"$311,225,150 ","34,696,226",Action
Mugen no jûnin,3-Nov-17,Magnolia Pictures,R,"$150,532 ","16,781",Action
Thor: Ragnarok,3-Nov-17,Walt Disney,PG-13,"$3,833,139 ","420,761",Action
Last Flag Flying,3-Nov-17,Amazon Studios,R,"$965,481 ","107,634",Comedy
Bad Grandmas,3-Nov-17,Parade Deck Films,Not Rated,"$17,688 ","1,971",Comedy
Lady Bird,3-Nov-17,A24,R,"$31,432,463 ","3,504,176",Drama
LBJ,3-Nov-17,Electric Entertai…,R,"$2,468,683 ","275,215",Drama
My Friend Dahmer,3-Nov-17,FilmRise,R,"$1,296,639 ","144,552",Drama
Lady Bird,3-Nov-17,A24,R,"$17,525,810 ","1,923,799",Drama
My Friend Dahmer,3-Nov-17,FilmRise,R,"$64,972 ","7,131",Drama
Ittefaq,3-Nov-17,Red Chillies Ente�,Not Rated,"$298,032 ","33,225",Thriller/Suspense
Daddy’s Home 2,10-Nov-17,Paramount Pictures,PG-13,"$101,791,381 ","11,347,980",Comedy
Daddy’s Home 2,10-Nov-17,Paramount Pictures,PG-13,"$2,238,062 ","245,671",Comedy
Murder on the Orient Express,10-Nov-17,20th Century Fox,PG-13,"$100,619,624 ","11,217,349",Drama
Thelma,10-Nov-17,The Orchard,Not Rated,"$132,011 ","14,716",Drama
Murder on the Orient Express,10-Nov-17,20th Century Fox,PG-13,"$2,206,919 ","242,252",Drama
Thelma,10-Nov-17,The Orchard,Not Rated,"$15,380 ","1,688",Drama
Song of Granite,15-Nov-17,Oscilloscope Pict…,Not Rated,"$12,408 ","1,383",Drama
Song of Granite,15-Nov-17,Oscilloscope Pict…,Not Rated,"$3,774 ",414,Drama
Justice League,17-Nov-17,Warner Bros.,PG-13,"$225,546,295 ","25,144,514",Action
Justice League,17-Nov-17,Warner Bros.,PG-13,"$3,478,000 ","381,778",Action
The Star,17-Nov-17,Sony Pictures,PG,"$39,963,949 ","4,455,290",Adventure
The Star,17-Nov-17,Sony Pictures,PG,"$884,046 ","97,041",Adventure
Le Crime de Monsieur Lange,17-Nov-17,Rialto Pictures,Not Rated,"$27,474 ","3,062",Comedy
Le Crime de Monsieur Lange,17-Nov-17,Rialto Pictures,Not Rated,"$8,127 ",892,Comedy
Wonder,17-Nov-17,Lionsgate,PG,"$121,559,294 ","13,551,761",Drama
"Roman J. Israel, Esq.",17-Nov-17,Sony Pictures,PG-13,"$11,851,274 ","1,321,212",Drama
The Breadwinner,17-Nov-17,GKIDS,PG-13,"$220,307 ","24,560",Drama
Bamui haebyun-eoseo honja,17-Nov-17,Cinema Guild,Not Rated,"$30,683 ","3,420",Drama
Porto,17-Nov-17,Kino Lorber,Not Rated,"$11,763 ","1,311",Drama
Wonder,17-Nov-17,Lionsgate,PG,"$10,863,515 ","1,192,482",Drama
"Roman J. Israel, Esq.",17-Nov-17,Sony Pictures,PG-13,"$111,438 ","12,232",Drama
The Breadwinner,17-Nov-17,GKIDS,PG-13,"$92,074 ","10,106",Drama
Bamui haebyun-eoseo honja,17-Nov-17,Cinema Guild,Not Rated,"$6,806 ",747,Drama
Porto,17-Nov-17,Kino Lorber,Not Rated,"$3,863 ",424,Drama
Sweet Virginia,17-Nov-17,IFC Films,R,"$11,452 ","1,277",Thriller/Suspense
Sweet Virginia,17-Nov-17,IFC Films,R,$301 ,33,Thriller/Suspense
Le Fidèle,21-Nov-17,Mongrel Media,R,"$16,429 ","1,831",Drama
Le Fidèle,21-Nov-17,Mongrel Media,R,"$36,522 ","4,009",Drama
The Man Who Invented Christmas,22-Nov-17,Bleecker Street,PG,"$5,575,759 ","621,600",Adventure
The Man Who Invented Christmas,22-Nov-17,Bleecker Street,PG,"$100,351 ","11,015",Adventure
Darkest Hour,22-Nov-17,Focus Features,PG-13,"$18,132,857 ","2,021,500",Drama
Darkest Hour,22-Nov-17,Focus Features,PG-13,"$38,310,263 ","4,205,297",Drama
Yin Bao Zhe,24-Nov-17,China Lion Film D…,Not Rated,"$118,384 ","13,197",Action
Call Me by Your Name,24-Nov-17,Sony Pictures Cla…,R,"$4,906,869 ","547,031",Drama
Call Me by Your Name,24-Nov-17,Sony Pictures Cla…,R,"$13,158,311 ","1,444,381",Drama
xiu chun dao II: xiu luo zh…,1-Dec-17,Well Go USA,Not Rated,"$14,204 ","1,583",Action
Oro,1-Dec-17,Sony Pictures,R,"$5,539 ",618,Adventure
Thrill Ride,1-Dec-17,Gravitas Ventures,PG,"$2,226 ",248,Adventure
The Disaster Artist,1-Dec-17,A24,R,"$17,861,795 ","1,991,281",Comedy
Toivon Tuolla Puolen,1-Dec-17,Janus Films,Not Rated,"$140,581 ","15,672",Comedy
The Disaster Artist,1-Dec-17,A24,R,"$3,258,821 ","357,719",Comedy
Toivon Tuolla Puolen,1-Dec-17,Janus Films,Not Rated,"$43,509 ","4,775",Comedy
The Shape of Water,1-Dec-17,Fox Searchlight,R,"$15,670,177 ","1,746,954",Drama
Wonder Wheel,1-Dec-17,Amazon Studios,PG-13,"$1,306,606 ","145,663",Drama
The Tribes of Palos Verdes,1-Dec-17,IFC Films,R,"$9,258 ","1,032",Drama
Badsville,1-Dec-17,Epic Pictures Group,Not Rated,"$4,153 ",462,Drama
The Shape of Water,1-Dec-17,Fox Searchlight,R,"$48,189,258 ","5,289,710",Drama
Wonder Wheel,1-Dec-17,Amazon Studios,PG-13,"$96,631 ","10,607",Drama
The Tribes of Palos Verdes,1-Dec-17,IFC Films,R,"$2,345 ",257,Drama
The Swindlers,1-Dec-17,Well Go USA,Not Rated,"$241,916 ","26,969",Thriller/Suspense
Just Getting Started,8-Dec-17,Broad Green Pictures,PG-13,"$6,036,997 ","673,020",Comedy
Just Getting Started,8-Dec-17,Broad Green Pictures,PG-13,"$32,608 ","3,579",Comedy
Qi Man Dun Jia,15-Dec-17,Well Go USA,Not Rated,"$124,187 ","13,844",Action
Star Wars Ep. VIII: The Las…,15-Dec-17,Walt Disney,PG-13,"$517,218,368 ","57,660,910",Adventure
Ferdinand,15-Dec-17,20th Century Fox,PG,"$53,546,717 ","5,969,534",Adventure
Star Wars Ep. VIII: The Las…,15-Dec-17,Walt Disney,PG-13,"$102,963,014 ","11,302,196",Adventure
Ferdinand,15-Dec-17,20th Century Fox,PG,"$30,863,663 ","3,387,888",Adventure
Permanent,15-Dec-17,Magnolia Pictures,PG-13,"$11,197 ","1,248",Comedy
Permanent,15-Dec-17,Magnolia Pictures,PG-13,"$1,650 ",181,Comedy
Fang Hua,15-Dec-17,China Lion Film D…,Not Rated,"$1,579,715 ","176,110",Drama
Fang Hua,15-Dec-17,China Lion Film D…,Not Rated,"$312,241 ","34,274",Drama
"Psiconautas, los niños olvi…",15-Dec-17,GKIDS,Not Rated,"$13,157 ","1,466",Horror
"Psiconautas, los niños olvi…",15-Dec-17,GKIDS,Not Rated,"$25,628 ","2,813",Horror
"Psiconautas, los ni�os olvi�",15-Dec-17,GKIDS,Not Rated,"$13,157 ","1,466",Horror
"Psiconautas, los ni�os olvi�",15-Dec-17,GKIDS,Not Rated,"$25,628 ","2,813",Horror
Jumanji: Welcome to the Jungle,20-Dec-17,Sony Pictures,PG-13,"$169,002,557 ","18,840,865",Adventure
Jumanji: Welcome to the Jungle,20-Dec-17,Sony Pictures,PG-13,"$235,506,359 ","25,851,411",Adventure
The Lucky Man,21-Dec-17,Indican Pictures,Not Rated,"$9,794 ","1,091",Action
