Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
The Tenants,3-Feb-06,Alchemy,R,"$2,010 ",306,Drama
When a Stranger Calls,3-Feb-06,Sony Pictures,PG-13,"$47,860,214 ","7,306,902",Horror
Tamara,3-Feb-06,City Lights Pictures,R,"$206,871 ","31,583",Horror
The Pink Panther,10-Feb-06,Sony Pictures,PG,"$82,226,474 ","12,553,660",Adventure
Curious George,10-Feb-06,Universal,G,"$58,640,119 ","8,952,689",Adventure
Un a�o sin amor,10-Feb-06,Strand,Not Rated,"$24,381 ","3,722",Drama
London,10-Feb-06,IDP/Goldwyn/Roadside,R,"$12,667 ","1,933",Drama
Final Destination 3,10-Feb-06,New Line,R,"$54,098,051 ","8,259,244",Horror
Firewall,10-Feb-06,Warner Bros.,PG-13,"$48,751,189 ","7,442,929",Thriller/Suspense
Nochnoy dozor,17-Feb-06,Fox Searchlight,Not Rated,"$1,502,188 ","229,341",Action
Eight Below,17-Feb-06,Walt Disney,PG,"$81,612,565 ","12,459,933",Adventure
Date Movie,17-Feb-06,20th Century Fox,PG-13,"$48,548,426 ","7,411,973",Comedy
Freedomland,17-Feb-06,Sony Pictures,R,"$12,512,886 ","1,910,364",Drama
Sophie Scholl - Die letzten�,17-Feb-06,Zeitgeist,Not Rated,"$680,331 ","103,867",Drama
The Second Chance,17-Feb-06,Sony Pictures,PG-13,"$432,253 ","65,992",Drama
Winter Passing,17-Feb-06,Focus Features,R,"$107,492 ","16,410",Drama
Batalla en el cielo,17-Feb-06,Tartan Films,Not Rated,"$70,899 ","10,824",Drama
Running Scared,24-Feb-06,New Line,R,"$6,855,137 ","1,046,585",Action
Doogal,24-Feb-06,Weinstein Co.,G,"$7,578,946 ","1,157,090",Adventure
Madea's Family Reunion,24-Feb-06,Lionsgate,PG-13,"$63,257,940 ","9,657,700",Comedy
Tsotsi,24-Feb-06,Miramax,R,"$2,912,606 ","444,672",Drama
Taxi No. 9 2 11: Nau Do Gyarah,24-Feb-06,UTV Communications,Not Rated,"$292,794 ","44,701",Drama
Little Fish,24-Feb-06,First Look,R,"$22,453 ","3,427",Drama
Zyzzyx Rd.,24-Feb-06,Regent Releasing,Not Rated,$20 ,3,Thriller/Suspense
16 Blocks,3-Mar-06,Warner Bros.,PG-13,"$36,895,141 ","5,632,845",Action
Ultraviolet,3-Mar-06,Sony Pictures,PG-13,"$18,522,064 ","2,827,796",Action
Aquamarine,3-Mar-06,20th Century Fox,PG,"$18,597,342 ","2,839,288",Comedy
Doing Time for Patsy Cline,3-Mar-06,Oilrag Productions,Not Rated,$831 ,126,Comedy
Joyeux No�l,3-Mar-06,Sony Pictures Cla�,PG-13,"$1,054,361 ","160,971",Drama
Woman is the Future of Man,3-Mar-06,New Yorker,Not Rated,"$11,807 ","1,802",Drama
"Sorry, Haters",3-Mar-06,IFC Films,Not Rated,"$6,364 ",971,Drama
The Shaggy Dog,10-Mar-06,Walt Disney,PG,"$61,123,569 ","9,331,842",Comedy
Malamaal Weekly,10-Mar-06,Rainbow Releasing,Not Rated,"$204,612 ","31,238",Comedy
Temporada de patos,10-Mar-06,Warner Independent,R,"$147,551 ","22,526",Comedy
Game 6,10-Mar-06,Kindred Media Group,R,"$129,664 ","19,796",Comedy
Ask the Dust,10-Mar-06,Paramount Pictures,R,"$742,614 ","113,376",Drama
The Heart is Deceitful Abov�,10-Mar-06,Palm Pictures,R,"$29,058 ","4,436",Drama
Ondskan,10-Mar-06,Magnolia Pictures,Not Rated,"$15,530 ","2,370",Drama
The Hills Have Eyes,10-Mar-06,Fox Searchlight,R,"$41,778,863 ","6,378,452",Horror
V for Vendetta,17-Mar-06,Warner Bros.,R,"$70,511,035 ","10,765,043",Action
Church Ball,17-Mar-06,Halestone,PG,"$464,991 ","70,990",Comedy
Find Me Guilty,17-Mar-06,Freestyle Releasing,R,"$1,173,673 ","179,186",Drama
Don't Come Knocking,17-Mar-06,Sony Pictures Cla�,R,"$440,793 ","67,296",Drama
Sommersturm,17-Mar-06,Regent Releasing,R,"$94,749 ","14,465",Drama
Don't Tell,17-Mar-06,Lionsgate,R,"$27,105 ","4,138",Drama
